size,diff,board_name
6,easy,easy:6:1
6,easy,easy:6:2
6,easy,easy:6:3
6,medium,medium:6:1
6,medium,medium:6:2
6,medium,medium:6:3
6,hard,hard:6:1
6,hard,hard:6:2
6,hard,hard:6:3
10,easy,easy:10:1
10,easy,easy:10:2
10,easy,easy:10:3
10,medium,medium:10:1
10,medium,medium:10:2
10,medium,medium:10:3
10,hard,hard:10:1
10,hard,hard:10:2
10,hard,hard:10:3
14,easy,easy:14:1
14,easy,easy:14:2
14,easy,easy:14:3
14,medium,medium:14:1
14,medium,medium:14:2
14,medium,medium:14:3
14,hard,hard:14:1
14,hard,hard:14:2
14,hard,hard:14:3
20,easy,easy:20:1
20,easy,easy:20:2
20,easy,easy:20:3
20,medium,medium:20:1
20,medium,medium:20:2
20,medium,medium:20:3
20,hard,hard:20:1
20,hard,hard:20:2
20,hard,hard:20:3
